year,stationName,ridership,longitude,latitude
2015,Xinzhuang,2785698,121.45231789675648,25.03614790870418
2015,Touqianzhuang,1466828,121.46162455915298,25.03960733108286
2015,Xianse Temple,1368746,121.4721227936169,25.04652687090844
2015,Sanchong,2201802,121.48394655537149,25.05559949906261
2015,Cailiao,3030026,121.49113831824576,25.059648334719515
2015,Taipei Bridge,3562322,121.49986798026123,25.062943649795628
2015,Daqiaotou,4750030,121.51284877945061,25.062922384403873
2015,Zhongshan Elementary School,7173996,121.5276644722842,25.062650999595398
2015,Xingtian Temple,8470154,121.53315637381542,25.057966034949423
2015,Dongmen,6178858,121.52832177315834,25.033927618168192
2015,Luzhou,4063114,121.46435733713015,25.091563669599626
2015,Sanmin Senior High School,4140413,121.47324093434406,25.085670389689398
2015,St. Ignatius High School,4043472,121.4796160953184,25.08074178667732
2015,Sanhe Junior High School,3973029,121.48634726047001,25.0768077912848
2015,Sanchong Elementary School,3418478,121.49744089647399,25.069935147639686
2015,Huilong,2861173,121.41266279325664,25.02251715705777
2015,Danfeng,1209407,121.4226990725201,25.028921091574322
2015,Shisizhang,0,121.52868133414427,24.983975049022394
2015,Xiulang Bridge,0,121.52412027765467,24.99046028425729
2015,Jingping,0,121.5159472146019,24.9921677687474
2015,Zhonghe,0,121.49685451610128,25.001725087459377
2015,Qiaohe,0,121.49022630210679,25.004590667817993
2015,Zhongyuan,0,121.48335433974322,25.008508753264476
2015,Banxin,0,121.47293039513582,25.014002570888305
2015,Y-Banqiao,0,121.46469,25.01554
2015,Xinpu Minsheng,0,121.46697,25.0263
2015,Xingfu,0,121.45990194656648,25.049783726031855
2015,New Taipei Industrial Park,0,121.45957785560667,25.061081616149394
2016,Songshan Airport,2092136,121.55163511046534,25.063104462027813
2016,Zhongshan Junior High School,5256347,121.54421643863033,25.06080611270273
2016,Nanjing Fuxing,12013775,121.54403933590369,25.052292279432056
2016,Zhongxiao Fuxing,18469890,121.54379399916067,25.041602162432408
2016,Daan,7923790,121.5436261083644,25.0328205730737
2016,Technology Building,5031135,121.54345147194539,25.025991976477005
2016,Liuzhangli,3902178,121.55305797318083,25.023844875733175
2016,Linguang,1448082,121.55882703203744,25.018523230734115
